,Country,Happiness_Difference,Percentage_deaths,Average_Happiness
58,Bolivia,-2.5663322220584592,0.26581789525238053,5.687833314333333
59,Pakistan,-20.67868929374854,0.018287642589094683,5.04776659
60,Paraguay,-2.004533424181304,0.2927993292702589,5.641033349333333
61,Dominican Republic,0.8401897742836237,0.06253742658489603,5.6570666413333335
62,Bosnia and Herzegovina,1.6548893972755787,0.6022893701717409,5.751699974
63,Moldova,4.449396711876214,0.5548951629367734,5.743500025333333
64,Tajikistan,-3.2165133219737947,0.002254225939702916,5.466233275
65,Montenegro,0.01622509470230448,0.5435324944552282,5.55803338
66,Russia,-1.5686982318292853,0.2954399348026787,5.494000001333333
67,Kyrgyz Republic,5.170078557133056,0.0660040426146294,5.704500030666666
68,Greece,7.851317217058301,0.30139555365160464,5.7286666219999995
69,Croatia,11.268548608750173,0.479855126887501,5.837233394666666
70,Mongolia,5.586303107086377,0.06433228034598504,5.631400041
71,Malaysia,6.067636534425707,0.10938022056356797,5.493100077333334
72,Vietnam,2.4563391001501196,0.0436507278927617,5.416499963
73,Indonesia,-0.8627248260170784,0.06479403839129491,5.290200061666666
74,Cote d'Ivoire,0.032480288386223966,0.003540792565093813,5.258100069666667
75,Benin,-11.368866390048051,0.0017074702566105082,4.96133336
76,Ghana,-5.361301004395554,0.005728456057190588,5.035999920999999
77,Nepal,4.6679149468227275,0.05048253741453079,5.261066626333332
78,Turkey,-7.556805833734565,0.14064537849345665,4.941266725
79,China,8.999006004593644,0.001274691737544264,5.349299979
80,Bulgaria,5.282759270878417,0.6349423818667828,5.246166678
81,Morocco,-0.6830492862163904,0.06343713362447677,5.024266665
82,Cameroon,-0.7256760744786052,0.008946779807204618,5.0916333006666665
83,Venezuela,-2.5370017787905508,0.023568762956093982,4.956733256
84,Algeria,2.335622311279737,0.021949306884217097,5.004699924333333
85,Senegal,1.3090235707172513,0.014130493856579667,5.052933383999999
86,Guinea,-1.1779406019947851,0.0039671685959847686,4.941433270666667
87,Laos,5.142579338278342,0.009126450267168585,5.019533291000001
88,Albania,6.477973993948254,0.16442030566108345,5.0662333219999995
89,Cambodia,-4.298327510393945,0.018266674426314872,4.7728000386666665
90,Bangladesh,6.666944523538746,0.022272838316480914,5.004266637000001
91,Gabon,2.664984054530438,0.01648898697414958,4.879766642333334
92,South Africa,7.891407067798108,0.21590933807507803,4.988033262999999
93,Iraq,3.2645031196667262,0.09440237968283575,4.859933351
94,Lebanon,-38.069790815100745,0.17198886167372018,4.103500037
95,Burkina Faso,-2.0697489977186474,0.0022340993599185735,4.757566707666666
96,Mali,-5.292538448304014,0.00491831595676504,4.643766673999999
97,Nigeria,-3.643024256120391,0.0021441781582690373,4.6783667043333335
98,Armenia,15.44218826760489,0.38592969708095953,5.119599924666667
99,Georgia,6.428973620088714,0.5170955829023756,4.845533264
100,Iran,4.614331009594343,0.23246354965040938,4.760466666
101,Jordan,-10.389777848755068,0.17490694041246127,4.393466654333333
102,Mozambique,9.178994581046373,0.007566684002318316,4.821866668666667
103,Kenya,-0.8727947065848957,0.013603911380234437,4.577666727666667
104,Namibia,-2.452368778563891,0.16635732940404171,4.5347000783333336
105,Ukraine,11.474117282094193,0.28659993171358417,4.839899979999999
106,Uganda,3.858299499700366,0.00852626746245163,4.557000053333334
107,Tunisia,2.8186331951483115,0.2787381739557028,4.501399997666667
108,Sri Lanka,0.8088712239309358,0.07610292440348555,4.338000047
109,Myanmar,1.9962838960833402,0.040639742175829593,4.376000029333333
110,Togo,-1.7959511788496794,0.004106906645301089,4.135400023
111,Ethiopia,1.3090596756279023,0.008185200699598933,4.234066714
112,Egypt,3.2904540172350574,0.031263191128402826,4.240800029666667
113,Sierra Leone,-8.975141372416886,0.0025197490029127546,3.7831333153333335
114,Zambia,0.015962893477660813,0.023672815578975496,3.864133297
115,India,5.7006162806288,0.0485409327159493,3.723099961666667
116,Malawi,5.992082718724469,0.014715141776339778,3.629333369
117,Tanzania,6.495595456089425,0.0013744217237782977,3.6004000346666665
118,Zimbabwe,-9.220418666711836,0.03902326910439646,3.1464000193333335
119,Afghanistan,-6.346176868910883,0.025313177358367262,2.4979666716666666
